codigo_1,codigo_2,municipio,score_nombre,score_direccion,telefono_igual,decision
01-14-0058-46,01-14-0187-46,AMATITLAN,1.0,1.0,True,pendiente_revision_manual
01-14-0058-46,01-14-0189-46,AMATITLAN,1.0,1.0,True,pendiente_revision_manual
01-14-0058-46,01-14-3056-46,AMATITLAN,1.0,1.0,False,pendiente_revision_manual
01-14-0058-46,01-14-4006-46,AMATITLAN,1.0,0.8462,False,pendiente_revision_manual
01-14-0058-46,01-14-6800-46,AMATITLAN,1.0,0.9677,True,pendiente_revision_manual
01-14-0163-46,01-14-0178-46,AMATITLAN,1.0,0.8718,True,pendiente_revision_manual
01-14-0163-46,01-14-8167-46,AMATITLAN,1.0,0.8718,True,pendiente_revision_manual
01-14-0178-46,01-14-8167-46,AMATITLAN,1.0,1.0,True,pendiente_revision_manual
01-14-0187-46,01-14-0189-46,AMATITLAN,1.0,1.0,True,pendiente_revision_manual
01-14-0187-46,01-14-3056-46,AMATITLAN,1.0,1.0,False,pendiente_revision_manual
01-14-0187-46,01-14-4006-46,AMATITLAN,1.0,0.8462,False,pendiente_revision_manual
01-14-0187-46,01-14-6800-46,AMATITLAN,1.0,0.9677,True,pendiente_revision_manual
01-14-0189-46,01-14-3056-46,AMATITLAN,1.0,1.0,False,pendiente_revision_manual
01-14-0189-46,01-14-4006-46,AMATITLAN,1.0,0.8462,False,pendiente_revision_manual
01-14-0189-46,01-14-6800-46,AMATITLAN,1.0,0.9677,True,pendiente_revision_manual
01-14-2694-46,01-14-9704-46,AMATITLAN,1.0,0.7925,True,pendiente_revision_manual
01-14-3056-46,01-14-4006-46,AMATITLAN,1.0,0.8462,True,pendiente_revision_manual
01-14-3056-46,01-14-6800-46,AMATITLAN,1.0,0.9677,False,pendiente_revision_manual
01-14-4006-46,01-14-6800-46,AMATITLAN,1.0,0.8148,False,pendiente_revision_manual
01-14-0050-46,01-14-0052-46,AMATITLAN,1.0,1.0,True,pendiente_revision_manual
01-14-0050-46,01-14-0135-46,AMATITLAN,1.0,0.6,False,pendiente_revision_manual
01-14-0050-46,01-14-0136-46,AMATITLAN,1.0,0.6102,True,pendiente_revision_manual
01-14-0050-46,01-14-0211-46,AMATITLAN,1.0,0.6,True,pendiente_revision_manual
01-14-0052-46,01-14-0135-46,AMATITLAN,1.0,0.6,False,pendiente_revision_manual
01-14-0052-46,01-14-0136-46,AMATITLAN,1.0,0.6102,True,pendiente_revision_manual
01-14-0052-46,01-14-0211-46,AMATITLAN,1.0,0.6,True,pendiente_revision_manual
01-14-0135-46,01-14-0136-46,AMATITLAN,1.0,0.6275,False,pendiente_revision_manual
01-14-0135-46,01-14-0211-46,AMATITLAN,1.0,0.5,False,pendiente_revision_manual
01-14-0136-46,01-14-0211-46,AMATITLAN,1.0,0.7042,True,pendiente_revision_manual
01-14-7918-46,01-14-7920-46,AMATITLAN,1.0,1.0,False,pendiente_revision_manual
01-14-0106-46,01-14-0107-46,AMATITLAN,1.0,1.0,True,pendiente_revision_manual
01-14-0106-46,01-14-8474-46,AMATITLAN,1.0,0.6122,False,pendiente_revision_manual
01-14-0107-46,01-14-8474-46,AMATITLAN,1.0,0.6122,False,pendiente_revision_manual
01-14-0213-46,01-14-0219-46,AMATITLAN,1.0,0.9481,True,pendiente_revision_manual
01-14-0213-46,01-14-0220-46,AMATITLAN,1.0,0.9153,True,pendiente_revision_manual
01-14-0219-46,01-14-0220-46,AMATITLAN,1.0,0.864,True,pendiente_revision_manual
01-14-0027-46,01-14-0209-46,AMATITLAN,1.0,0.2025,False,pendiente_revision_manual
01-14-0027-46,01-14-0225-46,AMATITLAN,1.0,0.3099,False,pendiente_revision_manual
01-14-0027-46,01-14-0226-46,AMATITLAN,1.0,0.3099,False,pendiente_revision_manual
01-14-0068-46,01-14-0183-46,AMATITLAN,0.9815,0.961,False,pendiente_revision_manual
01-14-0209-46,01-14-0225-46,AMATITLAN,1.0,0.2632,False,pendiente_revision_manual
01-14-0209-46,01-14-0226-46,AMATITLAN,1.0,0.2632,False,pendiente_revision_manual
01-14-0225-46,01-14-0226-46,AMATITLAN,1.0,1.0,True,pendiente_revision_manual
01-14-0013-46,01-14-0014-46,AMATITLAN,1.0,1.0,False,pendiente_revision_manual
01-14-0013-46,01-14-0016-46,AMATITLAN,0.9615,1.0,False,pendiente_revision_manual
01-14-0013-46,01-14-0018-46,AMATITLAN,1.0,1.0,False,pendiente_revision_manual
01-14-0014-46,01-14-0016-46,AMATITLAN,0.9615,1.0,False,pendiente_revision_manual
01-14-0014-46,01-14-0018-46,AMATITLAN,1.0,1.0,False,pendiente_revision_manual
