codigo,distrito,departamento,municipio,establecimiento,direccion,telefono,supervisor,director,nivel,sector,area,status,modalidad,jornada,plan,departamental,fecha_extraccion,fuente_url,nivel_consulta,sector_consulta,plan_consulta,modalidad_consulta,departamento_consulta,departamento_consulta_codigo,municipio_consulta
00-12-0049-46,01-01-0150,CIUDAD CAPITAL,ZONA 12,LICEO CANADIENSE SOCIEDAD ANONIMA,"DIAGONAL 19, AVENIDA PETAPA, 40-54",55154365,VICTORIA ENCARNACIÓN CASTRO CASTELLANOS,ROSAURA GUDIEL ROSALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA SUR,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CIUDAD CAPITAL,00,
00-12-0051-46,01-99-0154,CIUDAD CAPITAL,ZONA 12,LICEO CANADIENSE SOCIEDAD ANONIMA,"DIAGONAL 19, AVENIDA PETAPA, 40-54",23750070,BYRON FERNANDO BÁMACA DE LA CRUZ,ROSAURA GUDIEL ROSALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA SUR,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CIUDAD CAPITAL,00,
00-12-0052-46,01-99-0154,CIUDAD CAPITAL,ZONA 12,LICEO CANADIENSE SOCIEDAD ANONIMA,"DIAGONAL 19, AVENIDA PETAPA, 40-54",55154365,BYRON FERNANDO BÁMACA DE LA CRUZ,ROSAURA GUDIEL ROSALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA SUR,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CIUDAD CAPITAL,00,
00-12-0055-46,01-211,CIUDAD CAPITAL,ZONA 12,LICEO CANADIENSE SOCIEDAD ANONIMA,"DIAGONAL 19, AVENIDA PETAPA, 40-54",23750070,ADRIANA FABIOLA BOLAÑOS ESTRADA,ISABEL CRISTINA BALCAZAR VASQUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CIUDAD CAPITAL,00,
00-12-0056-46,01-211,CIUDAD CAPITAL,ZONA 12,LICEO CANADIENSE SOCIEDAD ANONIMA,"DIAGONAL 19, AVENIDA PETAPA, 40-54",23750070,ADRIANA FABIOLA BOLAÑOS ESTRADA,ISABEL CRISTINA BALCAZAR VASQUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA SUR,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CIUDAD CAPITAL,00,
00-12-0058-46,01-210,CIUDAD CAPITAL,ZONA 12,COLEGIO PANAMERICANO NO. 3,45 CALLE 19-05 ZONA 12 GUATEMALA,24420778,DINIZ ORALIA MORALES MUÑOZ,LUISA FERNANDA FAJARDO MARMOL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CIUDAD CAPITAL,00,
00-12-0059-46,01-211,CIUDAD CAPITAL,ZONA 12,LICEO CANADIENSE SUR,"AGUILAR BATRES, 30-67",23750060,ADRIANA FABIOLA BOLAÑOS ESTRADA,ROSAURA GUDIEL ROSALES,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA SUR,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CIUDAD CAPITAL,00,
00-12-0060-46,01-01-0150,CIUDAD CAPITAL,ZONA 12,LICEO CANADIENSE SOCIEDAD ANONIMA,"DIAGONAL 19, AVENIDA PETAPA, 40-54",55154365,VICTORIA ENCARNACIÓN CASTRO CASTELLANOS,ROSAURA GUDIEL ROSALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA SUR,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CIUDAD CAPITAL,00,
00-12-0062-46,01-210,CIUDAD CAPITAL,ZONA 12,INSTITUTO LA ESCUELA EN SU CASA,"21 AVENIDA 33-58, COLONIA SANTA ELISA",24760053,DINIZ ORALIA MORALES MUÑOZ,FAUSTO CÉSAR BARRIENTOS CANO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CIUDAD CAPITAL,00,
00-12-0064-46,01-210,CIUDAD CAPITAL,ZONA 12,LICEO NAZARENO,25 AVENIDA 53-64 COLONIA MORSE,54429209,DINIZ ORALIA MORALES MUÑOZ,FRANCISCO REVOLORIO LOPEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA SUR,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CIUDAD CAPITAL,00,
00-12-0066-46,01-641,CIUDAD CAPITAL,ZONA 12,LICEO SIN FRONTERAS,4TA. AV. 11-52 COLONIA LA REFORMITA,36083900,MILTON ALONSO ALVAREZ FUENTES,CARLOS ADOLFO CHOY GUEVARA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA SUR,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CIUDAD CAPITAL,00,
