index,value,label
0,TODOS,TODOS
1,45,BASICO
2,46,DIVERSIFICADO
3,42,PARVULOS
4,41,PREPRIMARIA BILINGUE
5,43,PRIMARIA
6,44,PRIMARIA DE ADULTOS
