index,value,label
1,16,ALTA VERAPAZ
2,15,BAJA VERAPAZ
3,04,CHIMALTENANGO
4,20,CHIQUIMULA
5,00,CIUDAD CAPITAL
6,02,EL PROGRESO
7,05,ESCUINTLA
8,01,GUATEMALA
9,13,HUEHUETENANGO
10,18,IZABAL
11,21,JALAPA
12,22,JUTIAPA
13,17,PETEN
14,09,QUETZALTENANGO
15,14,QUICHE
16,11,RETALHULEU
17,03,SACATEPEQUEZ
18,12,SAN MARCOS
19,06,SANTA ROSA
20,07,SOLOLA
21,10,SUCHITEPEQUEZ
22,08,TOTONICAPAN
23,19,ZACAPA
