encabezado_original,nombre_variable
CODIGO,codigo
DISTRITO,distrito
DEPARTAMENTO,departamento
MUNICIPIO,municipio
ESTABLECIMIENTO,establecimiento
DIRECCION,direccion
TELEFONO,telefono
SUPERVISOR,supervisor
DIRECTOR,director
NIVEL,nivel
SECTOR,sector
AREA,area
STATUS,status
MODALIDAD,modalidad
JORNADA,jornada
PLAN,plan
DEPARTAMENTAL,departamental
